Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DeiT,0.05,AdamW,0.0001,FALSE,0.5,0,4.441,4.538,0.500,48.41
DeiT,0.05,AdamW,0.001,FALSE,0.5,0,4.431,4.538,0.500,48.39
DeiT,0.1,AdamW,0,FALSE,0.5,0,4.444,4.538,0.500,48.46
DeiT,0.1,AdamW,1.00E-05,FALSE,0.5,0,4.445,4.538,0.500,48.40
DeiT,0.1,AdamW,0.0001,FALSE,0.5,0,4.444,4.538,0.500,22.82
DeiT,0.1,AdamW,0.001,FALSE,0.5,0,4.444,4.538,0.500,22.82
DeiT,0.05,AdamW,0,TRUE,0.5,0,4.442,4.538,0.500,48.56
DeiT,0.05,AdamW,1.00E-05,TRUE,0.5,0,4.442,4.538,0.500,48.51
DeiT,0.05,AdamW,0.0001,TRUE,0.5,0,4.442,4.538,0.500,48.73
DeiT,0.1,AdamW,0,TRUE,0.5,0,4.444,4.538,0.500,48.44
DeiT,0.1,AdamW,1.00E-05,TRUE,0.5,0,4.444,4.538,0.500,48.45
DeiT,0.1,AdamW,0.0001,TRUE,0.5,0,4.444,4.538,0.500,48.54
DeiT,0.1,AdamW,0.001,TRUE,0.5,0,4.444,4.538,0.500,48.41
DeiT,0.1,SGD,0.001,TRUE,0.5,1,0.166,0.166,0.500,56.82
DenseNet121,0.1,AdamW,1.00E-05,TRUE,0,0,4.443,4.538,0.500,22.70
DenseNet121,0.1,AdamW,0.001,TRUE,0.5,1,4.063,4.538,0.500,41.75
DeiT,0.01,AdamW,0.0001,FALSE,0.5,1,0.167,0.168,0.500,97.15
DenseNet121,0.1,AdamW,0.0001,FALSE,0,0,4.443,4.536,0.500,24.07
DeiT,0.01,AdamW,0.0001,TRUE,0.5,1,0.166,0.167,0.511,48.39
